startup_name,funding_amount,round,date,investors,short_description,funding_amount_numeric
Hyper Ventures 71,$4M,Seed,"Jul 03, 2023",,Hyper Ventures 71 raises $4M to expand its business.,4.0
Green Works 72,$41M,None,"May 29, 2024",,Green Works 72 raises $41M to expand its business.,41.0
Hyper Solutions 73,$45M,Fund II,"Jan 24, 2024",,Hyper Solutions 73 raises $45M to expand its business.,45.0
Rocket Ventures 74,$22M,Seed,"Aug 13, 2025",,Rocket Ventures 74 raises $22M to expand its business.,22.0
Smart Works 75,$98M,None,"Oct 19, 2024",,Smart Works 75 raises $98M to expand its business.,98.0
Neo Ventures 76,$150M,Series A,"Jan 20, 2024",Investor 40,Neo Ventures 76 raises $150M to expand its business.,150.0
Smart Works 77,$49M,Series C,"Mar 28, 2025",,Smart Works 77 raises $49M to expand its business.,49.0
Alpha Dynamics 78,$6M,Fund II,"Nov 14, 2023",Investor 20,Alpha Dynamics 78 raises $6M to expand its business.,6.0
Hyper Ventures 79,$43M,Series B,"Nov 01, 2023",Investor 36,Hyper Ventures 79 raises $43M to expand its business.,43.0
Neo Partners 80,$86M,Series A,"May 14, 2024",Investor 37,Neo Partners 80 raises $86M to expand its business.,86.0
Neo Partners 81,$34M,Series B,"Jun 04, 2023",,Neo Partners 81 raises $34M to expand its business.,34.0
Alpha Labs 82,$36M,None,"Sep 01, 2024",,Alpha Labs 82 raises $36M to expand its business.,36.0
Hyper Ventures 83,$85M,Fund I,"Apr 16, 2024",,Hyper Ventures 83 raises $85M to expand its business.,85.0
Green Labs 84,$104M,Seed,"Apr 18, 2024",,Green Labs 84 raises $104M to expand its business.,104.0
Smart Dynamics 85,$123M,Series A,"Oct 14, 2025",,Smart Dynamics 85 raises $123M to expand its business.,123.0
Rocket Labs 86,$119M,Seed,"Jun 30, 2023",Investor 43,Rocket Labs 86 raises $119M to expand its business.,119.0
Star AI 87,$86M,Fund II,"Jul 27, 2025",Investor 29,Star AI 87 raises $86M to expand its business.,86.0
Hyper Ventures 88,$52M,Fund II,"Jan 17, 2026",,Hyper Ventures 88 raises $52M to expand its business.,52.0
Hyper Labs 89,$150M,Series A,"Jul 13, 2024",Investor 36,Hyper Labs 89 raises $150M to expand its business.,150.0
Smart Ventures 90,$20M,Series B,"Feb 15, 2025",,Smart Ventures 90 raises $20M to expand its business.,20.0
Neo Partners 91,$73M,Seed,"Jun 05, 2023",,Neo Partners 91 raises $73M to expand its business.,73.0
Beta AI 92,$76M,Seed,"Dec 30, 2023",Investor 19,Beta AI 92 raises $76M to expand its business.,76.0
Smart Dynamics 93,$99M,Series C,"Oct 15, 2024",Investor 18,Smart Dynamics 93 raises $99M to expand its business.,99.0
Tech Dynamics 94,$136M,Series A,"Jun 26, 2025",,Tech Dynamics 94 raises $136M to expand its business.,136.0
Smart Works 95,$60M,Series B,"Sep 04, 2025",Investor 47,Smart Works 95 raises $60M to expand its business.,60.0
Rocket Systems 96,$139M,Series A,"Mar 16, 2024",Investor 34,Rocket Systems 96 raises $139M to expand its business.,139.0
Quantum Systems 97,$48M,Series C,"Dec 22, 2023",Investor 44,Quantum Systems 97 raises $48M to expand its business.,48.0
Tech Dynamics 98,$65M,Fund II,"Aug 15, 2025",Investor 23,Tech Dynamics 98 raises $65M to expand its business.,65.0
Quantum AI 99,$28M,Seed,"Apr 17, 2024",,Quantum AI 99 raises $28M to expand its business.,28.0
Green Dynamics 100,$14M,Series C,"Sep 25, 2023",,Green Dynamics 100 raises $14M to expand its business.,14.0
Neo Dynamics 101,$141M,Series C,"May 18, 2023",Investor 45,Neo Dynamics 101 raises $141M to expand its business.,141.0
Smart Dynamics 102,$118M,Seed,"Apr 11, 2024",,Smart Dynamics 102 raises $118M to expand its business.,118.0
Tech Ventures 103,$43M,Seed,"Feb 25, 2024",Investor 48,Tech Ventures 103 raises $43M to expand its business.,43.0
Star Solutions 104,$90M,Series C,"Feb 08, 2025",,Star Solutions 104 raises $90M to expand its business.,90.0
Hyper Solutions 105,$125M,Series A,"Mar 27, 2024",,Hyper Solutions 105 raises $125M to expand its business.,125.0
Star Systems 106,$14M,Series C,"Sep 01, 2023",,Star Systems 106 raises $14M to expand its business.,14.0
Neo Solutions 107,$3M,None,"Apr 26, 2025",Investor 47,Neo Solutions 107 raises $3M to expand its business.,3.0
Beta Systems 108,$7M,Fund II,"Oct 26, 2023",Investor 36,Beta Systems 108 raises $7M to expand its business.,7.0
Beta Partners 109,$76M,Series A,"Aug 08, 2023",,Beta Partners 109 raises $76M to expand its business.,76.0
Alpha Works 110,$131M,Fund I,"Apr 22, 2025",,Alpha Works 110 raises $131M to expand its business.,131.0
Neo Systems 111,$71M,Fund I,"Oct 02, 2023",Investor 5,Neo Systems 111 raises $71M to expand its business.,71.0
Green Dynamics 112,$58M,Seed,"Jan 14, 2026",Investor 44,Green Dynamics 112 raises $58M to expand its business.,58.0
Rocket Partners 113,$14M,Series A,"Jun 12, 2024",Investor 47,Rocket Partners 113 raises $14M to expand its business.,14.0
Smart Labs 114,$29M,None,"Dec 09, 2025",,Smart Labs 114 raises $29M to expand its business.,29.0
Beta Solutions 115,$31M,Fund I,"Mar 23, 2026",Investor 16,Beta Solutions 115 raises $31M to expand its business.,31.0
Quantum Solutions 116,$100M,Series B,"Oct 14, 2024",Investor 12,Quantum Solutions 116 raises $100M to expand its business.,100.0
Hyper Dynamics 117,$62M,Series A,"Jun 16, 2025",,Hyper Dynamics 117 raises $62M to expand its business.,62.0
Rocket Ventures 118,$72M,Series C,"May 02, 2023",Investor 13,Rocket Ventures 118 raises $72M to expand its business.,72.0
Hyper Partners 119,$84M,None,"May 02, 2023",,Hyper Partners 119 raises $84M to expand its business.,84.0
Rocket Ventures 120,$2M,Seed,"Dec 01, 2024",Investor 40,Rocket Ventures 120 raises $2M to expand its business.,2.0
